source,author,title,description,url,urlToImage,publishedAt,content,text,text_cleaned,sentiment,sentiment_label,confidence
"{'id': 'the-verge', 'name': 'The Verge'}",Umar Shakir,Ford hires a Twitch and PlayStation veteran to run its digital services,"Ford has hired a former Twitch, PlayStation, and Lululemon executive to lead the automaker’s digital services business. Mike Aragon, who previously led as CEO of Lululemon’s defunct Mirror home workout machine, is joining Ford as president of “integrated serv…",https://www.theverge.com/news/629710/ford-digital-integrated-services-mike-aragon-subscriptions,https://platform.theverge.com/wp-content/uploads/sites/2/chorus/uploads/chorus_asset/file/23988518/acastro_STK056_02.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-03-14T14:40:48Z,"Ford continues to forge a path to increase revenue in services a la Apple.
Ford continues to forge a path to increase revenue in services a la Apple.
Ford has hired a former Twitch, PlayStation, an… [+1470 chars]","Ford hires a Twitch and PlayStation veteran to run its digital services Ford has hired a former Twitch, PlayStation, and Lululemon executive to lead the automaker’s digital services business. Mike Aragon, who previously led as CEO of Lululemon’s defunct Mirror home workout machine, is joining Ford as president of “integrated serv…",ford hire twitch playstation veteran run digital service ford hired former twitch playstation lululemon executive lead automaker digital service business mike aragon previously led ceo lululemons defunct mirror home workout machine joining ford president integrated serv,0,Bad News,0.6624997317255429
"{'id': 'the-verge', 'name': 'The Verge'}",Antonio G. Di Benedetto,Lenovo’s ThinkBook Flip puts an extra-tall folding display on a laptop,"Lenovo has another funky experiment it’s announcing at Mobile World Congress: the ThinkBook “codename Flip” AI PC Concept. It’s a productivity / business laptop with a flexible display, allowing it to be used as a traditional 13.1-inch clamshell, a folded-up …",https://www.theverge.com/news/622380/lenovo-thinkbook-flip-concept-laptop-foldable-mwc,https://platform.theverge.com/wp-content/uploads/sites/2/2025/03/257550_Lenovo_MWC_AJohnson_0009.jpg?quality=90&strip=all&crop=0%2C10.723165084465%2C100%2C78.55366983107&w=1200,2025-03-02T20:31:12Z,"Lenovo keeps finding new ways to stuff huge screens into otherwise plain productivity laptops.
Lenovo keeps finding new ways to stuff huge screens into otherwise plain productivity laptops.
Lenovo … [+3140 chars]","Lenovo’s ThinkBook Flip puts an extra-tall folding display on a laptop Lenovo has another funky experiment it’s announcing at Mobile World Congress: the ThinkBook “codename Flip” AI PC Concept. It’s a productivity / business laptop with a flexible display, allowing it to be used as a traditional 13.1-inch clamshell, a folded-up …",lenovos thinkbook flip put extratall folding display laptop lenovo another funky experiment announcing mobile world congress thinkbook codename flip ai pc concept productivity business laptop flexible display allowing used traditional inch clamshell foldedup,0,Bad News,0.5271324607083703
"{'id': 'the-verge', 'name': 'The Verge'}",Andrew J. Hawkins,GM taps Nvidia to boost its embattled self-driving projects,"At Nvidia’s annual GTC conference in San Jose, Calif. today, the chipmaker announced it was teaming up with General Motors to develop next-generation cars, robots, and factories.  GM says it will apply several of Nvidia’s products to its business, such as the…",https://www.theverge.com/news/631951/gm-nvidia-gtc-deal-cars-robots-factories,https://platform.theverge.com/wp-content/uploads/sites/2/2025/02/STK083_B_NVIDIA_C.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-03-18T17:54:11Z,"The automaker will use the deep-pocketed tech giants chips and software to develop next-gen autonomous cars, robots, and manufacturing processes.
The automaker will use the deep-pocketed tech giants… [+3825 chars]","GM taps Nvidia to boost its embattled self-driving projects At Nvidia’s annual GTC conference in San Jose, Calif. today, the chipmaker announced it was teaming up with General Motors to develop next-generation cars, robots, and factories.  GM says it will apply several of Nvidia’s products to its business, such as the…",gm tap nvidia boost embattled selfdriving project nvidias annual gtc conference san jose calif today chipmaker announced teaming general motor develop nextgeneration car robot factory gm say apply several nvidias product business,0,Bad News,0.6787200861749322
"{'id': 'the-verge', 'name': 'The Verge'}",Wes Davis,US music subscriptions cross 100 million as digital downloads drop,"Business is still booming for music streaming services, which crossed the 100 million US subscriber mark in 2024, according to the Record Industry Association of America’s (RIAA) latest revenue report. Overall sales were also bolstered by physical media, whic…",https://www.theverge.com/news/632045/riaa-music-streaming-revenue-100-million-subscriptions,https://platform.theverge.com/wp-content/uploads/sites/2/2025/03/music.jpeg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-03-18T19:53:43Z,"Vinyl music sales are on an 18-year growth streak.
Vinyl music sales are on an 18-year growth streak.
Business is still booming for music streaming services, which crossed the 100 million US subscr… [+1228 chars]","US music subscriptions cross 100 million as digital downloads drop Business is still booming for music streaming services, which crossed the 100 million US subscriber mark in 2024, according to the Record Industry Association of America’s (RIAA) latest revenue report. Overall sales were also bolstered by physical media, whic…",music subscription cross million digital downloads drop business still booming music streaming service crossed million subscriber mark according record industry association america riaa latest revenue report overall sale also bolstered physical medium whic,0,Bad News,0.568352242182565
"{'id': None, 'name': 'Gizmodo.com'}",Sherri L Smith,HP EliteBook X G1a Review: An AI Laptop That’s All Business,The HP EliteBook X G1a goes all in on AI with one of AMD's powerful new Ryzen AI processors. The HP EliteBook X G1a is a business PC that goes heavy on the AI.,https://gizmodo.com/hp-elitebook-x-g1a-review-an-ai-laptop-thats-all-business-2000570228,https://gizmodo.com/app/uploads/2025/02/HP-EliteBook-X-G1a-Laptop-01.jpg,2025-03-01T14:00:43Z,"On the surface, the HP EliteBook X G1a ($2,199 testing, $1,999 starting) looks like any other business laptop. Its got a safe, elegant design that screams work laptop. But dig a little deeper, and yo… [+10998 chars]",HP EliteBook X G1a Review: An AI Laptop That’s All Business The HP EliteBook X G1a goes all in on AI with one of AMD's powerful new Ryzen AI processors. The HP EliteBook X G1a is a business PC that goes heavy on the AI.,hp elitebook ga review ai laptop thats business hp elitebook ga go ai one amd powerful new ryzen ai processor hp elitebook ga business pc go heavy ai,0,Bad News,0.6518228528254071
"{'id': 'business-insider', 'name': 'Business Insider'}",Peter Kafka,Trump's chaos could spook the ad business,People who run businesses hate uncertainty. There's a lot of uncertainty right now.,https://www.businessinsider.com/trumps-chaos-could-spook-ad-business-spending-2025-3,https://i.insider.com/67d9ca8869253ccddf999c95?width=1200&format=jpeg,2025-03-18T20:16:04Z,"Donald Trump's new presidency is generating lots of economic question marks. That could slow ad spending.BRENDAN SMIALOWSKI/AFP via Getty Images
<ul><li>People who run businesses hate uncertainty. T… [+3279 chars]",Trump's chaos could spook the ad business People who run businesses hate uncertainty. There's a lot of uncertainty right now.,trump chaos could spook ad business people run business hate uncertainty there lot uncertainty right,0,Bad News,0.7345691938742418
"{'id': None, 'name': 'NPR'}",Russell Lewis,Southwest 737 and small business jet have 'near collision' at Chicago Midway Airport,Federal authorities are investigating a near-collision at Chicago's Midway airport between a Southwest 737 and a small business jet. The 737 was landing when the business jet entered the runway.,https://www.npr.org/2025/02/25/nx-s1-5308201/southwest-737-near-collision-chicago-midway-airport,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/3420x1924+0+0/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F3d%2F28%2F68c5b7064c59a90cc494c2a77a35%2Fscreenshot-2025-02-25-at-12-59-50-pm.jpg,2025-02-26T00:45:56Z,The Federal Aviation Administration and National Transportation Safety Board say they're investigating a near-collision Monday between a Southwest Airlines 737 and a small business jet at Chicago's M… [+2929 chars],Southwest 737 and small business jet have 'near collision' at Chicago Midway Airport Federal authorities are investigating a near-collision at Chicago's Midway airport between a Southwest 737 and a small business jet. The 737 was landing when the business jet entered the runway.,southwest small business jet near collision chicago midway airport federal authority investigating nearcollision chicago midway airport southwest small business jet landing business jet entered runway,0,Bad News,0.6427323241171314
"{'id': None, 'name': 'Android Central'}",nickodiaz@sbcglobal.net (Nickolas Diaz),Additional Google Gemini aid arrives in Meet and Chat for more Workspace users,Google detailed the arrival of additional Gemini features for Business and Enterprise editions.,https://www.androidcentral.com/phones/google/google-gemini-meet-chat-workspace-editions-users-rollout,https://cdn.mos.cms.futurecdn.net/m9QXb2msRvwobrjVmahtPD-1200-80.jpg,2025-03-11T19:13:55Z,"What you need to know
<ul><li>Google is rolling out several Gemini-backed features for its Workspace Business and Enterprise edition (Standard and Plus) users.</li><li>Meet grabs a new ""Studio"" feat… [+3572 chars]",Additional Google Gemini aid arrives in Meet and Chat for more Workspace users Google detailed the arrival of additional Gemini features for Business and Enterprise editions.,additional google gemini aid arrives meet chat workspace user google detailed arrival additional gemini feature business enterprise edition,0,Bad News,0.6625155805908083
"{'id': 'the-verge', 'name': 'The Verge'}",Justine Calma,"Carbon removal is the next big fossil fuel boom, oil company says","Occidental, the oil giant that has tried to fashion itself as a climate tech leader, is being real clear now about capturing carbon dioxide emissions, which it sees as the next big thing for fossil fuel production. That shouldn’t be surprising coming from a p…",https://www.theverge.com/news/616662/carbon-removal-dac-oil-gas-occidental,https://platform.theverge.com/wp-content/uploads/sites/2/2025/02/gettyimages-2167612292.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-02-20T22:33:06Z,"Occidental Petroleum is just saying the quiet part out loud now instead of pretending to prioritize climate change.
Occidental Petroleum is just saying the quiet part out loud now instead of pretend… [+4851 chars]","Carbon removal is the next big fossil fuel boom, oil company says Occidental, the oil giant that has tried to fashion itself as a climate tech leader, is being real clear now about capturing carbon dioxide emissions, which it sees as the next big thing for fossil fuel production. That shouldn’t be surprising coming from a p…",carbon removal next big fossil fuel boom oil company say occidental oil giant tried fashion climate tech leader real clear capturing carbon dioxide emission see next big thing fossil fuel production shouldnt surprising coming,1,Good News,0.5443733359250474
"{'id': None, 'name': 'Android Central'}",bradypsnyder@gmail.com (Brady Snyder),It's now easier to delegate Google Voice calls and transfer your number,Google Voice is getting two key updates aimed to make using the phone service in personal and business settings easier.,https://www.androidcentral.com/apps-software/its-now-easier-to-delegate-google-voice-calls-and-transfer-your-number,https://cdn.mos.cms.futurecdn.net/qXnhUB3VXZyW7KAxmad4RP-1200-80.jpg,2025-02-27T22:25:13Z,"What you need to know
<ul><li>Google Voice users can now transfer their calls to another person on their team with the new feature ""call delegation.""</li><li>It's also easier to transfer a Google Vo… [+2911 chars]",It's now easier to delegate Google Voice calls and transfer your number Google Voice is getting two key updates aimed to make using the phone service in personal and business settings easier.,easier delegate google voice call transfer number google voice getting two key update aimed make using phone service personal business setting easier,0,Bad News,0.732644432583794
"{'id': 'business-insider', 'name': 'Business Insider'}",nsheidlower@businessinsider.com (Noah Sheidlower),I'm a small-business owner. The tariff whiplash has me stuck in a holding pattern.,"Vivian Hoffman, who founded a women's boutique chain, said her business is being ""extremely careful"" amid changing tariff policy.",https://www.businessinsider.com/tariff-whiplash-mexico-china-canada-retail-clothing-supply-chain-prices-2025-3,https://i.insider.com/67cb6f0c585f1dff88b191a7?width=1200&format=jpeg,2025-03-08T08:52:01Z,"Vivian Hoffman founded the women's boutique chain Whim Love in 2017, which has five locations in New York and Connecticut. Most of Whim's merchandise retails for under $100. Hoffman previously served… [+4958 chars]","I'm a small-business owner. The tariff whiplash has me stuck in a holding pattern. Vivian Hoffman, who founded a women's boutique chain, said her business is being ""extremely careful"" amid changing tariff policy.",im smallbusiness owner tariff whiplash stuck holding pattern vivian hoffman founded womens boutique chain said business extremely careful amid changing tariff policy,0,Bad News,0.6937379895561924
"{'id': 'business-insider', 'name': 'Business Insider'}",Jacob Shamsian,8 legal considerations to recession-proof your small business,Experts recommend that small businesses get their paperwork in order if they need a quick loan or merger to survive a recession.,https://www.businessinsider.com/small-business-legal-steps-recession-preparation-2025-3,https://i.insider.com/67d1ac0b69253ccddf990035?width=1200&format=jpeg,2025-03-12T16:18:50Z,"It's best to understand your legal options in advance instead of scrambling during a market crash.Bet_Noire/Getty, Jim Lin/Getty, SusanWoodImages/Getty, Tyler Le/BI
<ul><li>Recession fears are back,… [+7101 chars]",8 legal considerations to recession-proof your small business Experts recommend that small businesses get their paperwork in order if they need a quick loan or merger to survive a recession.,legal consideration recessionproof small business expert recommend small business get paperwork order need quick loan merger survive recession,0,Bad News,0.7007504950750403
"{'id': 'business-insider', 'name': 'Business Insider'}",Alice Tecotzky,Apple's cofounder has some advice for DOGE,Steve Wozniak said that mass firings are not a good way to conduct business.,https://www.businessinsider.com/apple-steve-wozniak-elon-musk-doge-firing-federal-employees-2025-3,https://i.insider.com/67c8b0d0b8b41a9673f9c973?width=1200&format=jpeg,2025-03-05T23:06:34Z,"Steve Wozniak said that mass firings are ""not good for a business"" in a recent interview.Getty Images
<ul><li>Steve Wozniak said DOGE's mass firings are a bad business tactic.</li><li>Wozniak said D… [+2117 chars]",Apple's cofounder has some advice for DOGE Steve Wozniak said that mass firings are not a good way to conduct business.,apple cofounder advice doge steve wozniak said mass firing good way conduct business,1,Good News,0.5499129247577741
"{'id': 'business-insider', 'name': 'Business Insider'}",Kelsey Baker,Venture capitalist says making sure 'killer robots' aren't running around is the 'cost of doing business' in defense AI,"Ethical considerations are not limitations, Snowpoint Ventures' Doug Philippone said. They're the ""cost of doing business.""",https://www.businessinsider.com/not-making-killer-robots-cost-business-defense-ai-vc-founder-2025-3,https://i.insider.com/67c9efe2585f1dff88b162f6?width=1000&format=jpeg,2025-03-06T20:37:04Z,"Militaries around the world are increasingly looking to AI and autonomous systems for future warfare, but there are ethical considerations that industry figures say can't be overlooked.US Army
<ul><… [+5795 chars]","Venture capitalist says making sure 'killer robots' aren't running around is the 'cost of doing business' in defense AI Ethical considerations are not limitations, Snowpoint Ventures' Doug Philippone said. They're the ""cost of doing business.""",venture capitalist say making sure killer robot arent running around cost business defense ai ethical consideration limitation snowpoint venture doug philippone said theyre cost business,0,Bad News,0.8128848101040355
"{'id': 'business-insider', 'name': 'Business Insider'}","Sarah Jackson,Lauren Edmonds","CEOs say they feel stuck as they wait for the dust to settle from Trump's on-again, off-again tariffs","Foxconn CEO Young Liu said tariffs are causing business leaders ""a big headache.""",https://www.businessinsider.com/tariff-business-uncertainty-ceo-trump-mexico-canada-china-2025-3,https://i.insider.com/67a24532bfebcc4d029db323?width=1200&format=jpeg,2025-03-17T09:14:01Z,"President Donald Trump has placed tariffs on goods from Canada and other countries.Chip Somodevilla/Getty Images
<ul><li>CEOs are grappling with uncertainty over Trump's unpredictable tariffs.</li><… [+3362 chars]","CEOs say they feel stuck as they wait for the dust to settle from Trump's on-again, off-again tariffs Foxconn CEO Young Liu said tariffs are causing business leaders ""a big headache.""",ceo say feel stuck wait dust settle trump onagain offagain tariff foxconn ceo young liu said tariff causing business leader big headache,0,Bad News,0.7088896199960385
"{'id': 'business-insider', 'name': 'Business Insider'}",Cheryl Teh,Critical Role's cofounders credit 4 things to stay friends after running a business together for a decade,Critical Role's eight cofounders have run a business together for a decade. They're all still friends.,https://www.businessinsider.com/critical-role-cofounders-tips-for-doing-business-with-your-friends-2025-3,https://i.insider.com/67d050ec585f1dff88b1c32e?width=1200&format=jpeg,2025-03-12T23:07:01Z,"Critical Role's cofounders have been in business with each other for a decade.Robyn Von Swank/Critical Role
<ul><li>Critical Role, the nerdworld business giant, started streaming their show in March… [+4063 chars]",Critical Role's cofounders credit 4 things to stay friends after running a business together for a decade Critical Role's eight cofounders have run a business together for a decade. They're all still friends.,critical role cofounder credit thing stay friend running business together decade critical role eight cofounder run business together decade theyre still friend,0,Bad News,0.5749233033589545
"{'id': 'business-insider', 'name': 'Business Insider'}",Rachel Hosie,It's easy to eat more protein and boost your gut health at the same time. A doctor explains how.,"Dr. Rupy Aujla told Business Insider he follows a high protein, high-fiber, ""plant-forward"" diet.",https://www.businessinsider.com/eat-more-protein-boost-gut-health-same-time-easy-doctor-2025-3,https://i.insider.com/67dab625b8b41a9673fb106f?width=1200&format=jpeg,2025-03-19T12:19:09Z,"Dr Rupy Aujla is a London-based doctor who specializes in nutrition.Faith Mason
<ul><li>Eating enough protein is important for our health.</li><li>But we don't need to eat lots of meat and ultra-pro… [+4627 chars]","It's easy to eat more protein and boost your gut health at the same time. A doctor explains how. Dr. Rupy Aujla told Business Insider he follows a high protein, high-fiber, ""plant-forward"" diet.",easy eat protein boost gut health time doctor explains dr rupy aujla told business insider follows high protein highfiber plantforward diet,0,Bad News,0.6003206901964904
"{'id': None, 'name': 'Harvard Business Review'}","Nick Di Loreto, Hans Latta",When Your Family Business Has a Conflict Over Governance,Strategies for tackling the disagreements that can arise from inherited legal agreements and ownership distribution.,https://hbr.org/2025/02/when-your-family-business-has-a-conflict-over-governance,https://hbr.org/resources/images/article_assets/2025/02/Feb25_21_522958726.jpg,2025-02-21T14:00:00Z,"Maybe we should just sell this thing, Connor lamented to his brother Liam as they departed the spring owner meeting of their familys heavy-equipment business. For the fifth quarterly meeting in a row… [+204 chars]",When Your Family Business Has a Conflict Over Governance Strategies for tackling the disagreements that can arise from inherited legal agreements and ownership distribution.,family business conflict governance strategy tackling disagreement arise inherited legal agreement ownership distribution,0,Bad News,0.5582437196947889
"{'id': None, 'name': 'Harvard Business Review'}",Susy Schöneberg,Strategic Impact Initiatives Can Make Your Business Stronger,What leaders can learn from successful efforts at Flexport and Twilio.,https://hbr.org/2025/03/strategic-impact-initiatives-can-make-your-business-stronger,https://hbr.org/resources/images/article_assets/2025/03/Mar25_19_PaulReid.jpg,2025-03-19T13:00:00Z,"Traditional corporate social responsibility (CSR) programs have long felt like box-checking exercisesa bolt-on, or something driven mostly by public relations. But for leaders navigating an increasin… [+126 chars]",Strategic Impact Initiatives Can Make Your Business Stronger What leaders can learn from successful efforts at Flexport and Twilio.,strategic impact initiative make business stronger leader learn successful effort flexport twilio,0,Bad News,0.602063985784931
"{'id': None, 'name': 'Android Central'}",nandika.iyerravi@futurenet.com (Nandika Ravi),"Humane will disable AI pins after $116 million buyout, leaving early adopters high and dry",Humane announced on Tuesday that it will be shutting down and moving on to other business endeavors while HP acquires it for $116 million.,https://www.androidcentral.com/apps-software/humane-announces-its-departure-from-the-ai-scene-hp-acquires-it-for-usd116-million,https://cdn.mos.cms.futurecdn.net/qg7zgqqYynueYAgqoPHbsb-1200-80.jpg,2025-02-20T00:06:08Z,"What you need to know
<ul><li>Humane has discontinued the production of its AI wearable pin as it has shifted its business priorities.</li><li>The company says that it will be deleting all consumer … [+3632 chars]","Humane will disable AI pins after $116 million buyout, leaving early adopters high and dry Humane announced on Tuesday that it will be shutting down and moving on to other business endeavors while HP acquires it for $116 million.",humane disable ai pin million buyout leaving early adopter high dry humane announced tuesday shutting moving business endeavor hp acquires million,0,Bad News,0.684584676152518
